Product ID Number,Product Name,Product Type,Engine Configuration,Cooling System,Displacement (cc),Transmission,Date of Manufacturing,Date of Acquisition,Unit Price
1,Honda CBR500R,Sport,Parallel-twin,liquid-cooled,471,6-speed,2021,2023,389000
2,Yamaha MT-15,Naked bike,Single cylinder,liquid-cooled,155,6-speed,2022,2023,178000
3,Kawasaki Ninja 400,Sport,Parallel-twin,liquid-cooled,399,6-speed,2023,2024,340000
4,Suzuki Raider R150 Fi,Underbone,Single cylinder,liquid-cooled,150,6-speed,2020,2021,119900
5,Royal Enfield Classic 350,Classic,Single cylinder,air-cooled,349,5-speed,2022,2023,250000
6,CFMoto 300NK,Naked bike,Single cylinder,liquid-cooled,292,6-speed,2021,2022,165000
7,Bristol Veloce 500,Cafe racer,Twin cylinder,air-cooled,471,6-speed,2022,2023,328000
8,KTM Duke 200,Naked bike,Single cylinder,liquid-cooled,199,6-speed,2023,2024,178000
9,Yamaha XSR155,Retro,Single cylinder,liquid-cooled,155,6-speed,2022,2023,182000
10,Bajaj Dominar 400,Sport touring,Single cylinder,liquid-cooled,373,6-speed,2021,2022,199900
11,Yamaha NMAX 155,Scooter,Single cylinder,liquid-cooled,155,CVT,2022,2023,151900
12,Honda ADV 160,Scooter,Single cylinder,liquid-cooled,157,CVT,2023,2024,164900
13,Suzuki Avenis 125,Scooter,Single cylinder,air-cooled,124,CVT,2023,2024,79900
14,KTM RC 200,Sport,Single cylinder,liquid-cooled,199,6-speed,2021,2022,198000
15,BMW G 310 GS,Adventure,Single cylinder,liquid-cooled,313,6-speed,2023,2024,320000
16,TVS Apache RTR 200 4V,Naked bike,Single cylinder,oil-cooled,197,5-speed,2022,2023,129000
17,Husqvarna Svartpilen 401,Scrambler,Single cylinder,liquid-cooled,373,6-speed,2023,2024,295000
18,Vespa Primavera 150,Scooter,Single cylinder,air-cooled,150,CVT,2022,2023,210000
19,Suzuki GSX-S150,Naked bike,Single cylinder,liquid-cooled,147,6-speed,2021,2022,125000
20,Kawasaki Z400,Naked bike,Parallel-twin,liquid-cooled,399,6-speed,2023,2024,331000
21,Yamaha Aerox 155,Scooter,Single cylinder,liquid-cooled,155,CVT,2022,2023,124000
22,Bristol Bobber 650,Cruiser,Parallel-twin,liquid-cooled,649,6-speed,2022,2023,398000
23,Keeway RKS 150 Sport,Standard,Single cylinder,air-cooled,149,5-speed,2021,2022,68900
24,Motorstar Xplorer 250R,Adventure,Single cylinder,oil-cooled,223,6-speed,2020,2021,78900
25,CFMoto 650MT,Touring,Parallel-twin,liquid-cooled,649,6-speed,2023,2024,345000
26,Honda Click 125i,Scooter,Single cylinder,liquid-cooled,125,CVT,2022,2023,80900
27,Yamaha Sniper 155,Underbone,Single cylinder,liquid-cooled,155,6-speed,2023,2024,125900
28,Bajaj CT125,Commuter,Single cylinder,air-cooled,125,4-speed,2021,2022,67900
29,Honda CRF300L,Dual-sport,Single cylinder,liquid-cooled,286,6-speed,2023,2024,284900
30,Rusi Flash 125,Commuter,Single cylinder,air-cooled,125,4-speed,2020,2021,48000
31,SYM Jet X 150,Scooter,Single cylinder,liquid-cooled,149,CVT,2022,2023,128000
32,Harley-Davidson Street 750,Cruiser,V-twin,liquid-cooled,749,6-speed,2020,2021,499000
33,Zontes 310X,Adventure,Single cylinder,liquid-cooled,312,6-speed,2023,2024,248000
34,Aprilia SR GT 200,Scooter,Single cylinder,liquid-cooled,174,CVT,2023,2024,219000
35,Yamaha XMAX 300,Scooter,Single cylinder,liquid-cooled,292,CVT,2022,2023,319000
36,Benelli 502C,Cruiser,Parallel-twin,liquid-cooled,500,6-speed,2022,2023,349000
37,Moto Morini X-Cape 650,Adventure,Parallel-twin,liquid-cooled,649,6-speed,2023,2024,369000
38,Yamaha FZi 150,Street,Single cylinder,air-cooled,149,5-speed,2021,2022,99900
39,Vespa GTS Super 300,Scooter,Single cylinder,liquid-cooled,278,CVT,2023,2024,398000
40,Kawasaki KLX 230,Dual-sport,Single cylinder,air-cooled,233,6-speed,2022,2023,199000
41,BMW R nineT,Heritage,Flat twin,air/oil-cooled,1170,6-speed,2023,2024,995000
42,Honda Rebel 1100,Cruiser,Parallel-twin,liquid-cooled,1084,6-speed,2023,2024,650000
43,KTM 790 Duke,Naked bike,Parallel-twin,liquid-cooled,799,6-speed,2023,2024,599000
44,CFMoto 300SR,Sport,Single cylinder,liquid-cooled,292,6-speed,2023,2024,165000
45,Italjet Dragster 200,Scooter,Single cylinder,liquid-cooled,181,CVT,2023,2024,289000
46,Yamaha Serow 250,Dual-sport,Single cylinder,air-cooled,249,5-speed,2020,2021,299000
47,Suzuki Burgman Street 125,Scooter,Single cylinder,air-cooled,124,CVT,2023,2024,80900
48,Zontes GK350,Cafe racer,Single cylinder,liquid-cooled,348,6-speed,2023,2024,269000
49,Moto Guzzi V7 Stone,Heritage,V-twin,air-cooled,853,6-speed,2022,2023,689000
50,SYM Husky 150,Underbone,Single cylinder,air-cooled,150,CVT,2022,2023,72900
